,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
9,18BGL002,一般项目,管理学,大数据环境下商务数据质量评价与控制研究,2018-06-21,杨峰,中级,贵州财经大学,,贵州,高等院校、其他学校,,,,,,,,,
10,18BGL003,一般项目,管理学,基于时隙的航空公司不正常航班协同恢复理论与方法研究,2018-06-21,陈可嘉,正高级,福州大学,211高校,福建,高等院校、其他学校,,,,,,,,,
11,18BGL004,一般项目,管理学,农业天气指数保险建模及其政策支撑研究,2018-06-21,王娓娓,副高级,南京信息工程大学,,江苏,高等院校、其他学校,,,,,,,,,
12,18BGL005,一般项目,管理学,网络舆情分析在交通运输行业“智”理中的应用方法研究,2018-06-21,滕靖,正高级,同济大学,985高校211高校,上海,高等院校、其他学校,,,,,,,,,
13,18BGL006,一般项目,管理学,新时代中国特色社会主义流域生态文明理论研究,2018-06-21,文传浩,正高级,重庆工商大学,,重庆,高等院校、其他学校,,,,,,,,,
14,18BGL007,一般项目,管理学,“一带一路”背景下中欧班列供给侧改革与协同发展研究,2018-06-21,张军,正高级,重庆工商大学,,重庆,高等院校、其他学校,,,,,,,,,
15,18BGL008,一般项目,管理学,风险管理视阈下山地灾害避险搬迁安置决策与耦合机制研究,2018-06-21,陈勇,正高级,四川大学,985高校211高校,四川,高等院校、其他学校,,,,,,,,,
16,18BGL009,一般项目,管理学,海洋碳汇渔业绿色发展的外溢效应评价方法与补偿政策研究,2018-06-21,徐敬俊,副高级,中国海洋大学,985高校211高校,山东,高等院校、其他学校,,,,,,,,,
17,18BGL010,一般项目,管理学,基于大数据的超大城市多主体协同处置突发事件机理研究,2018-06-21,赵欢,副高级,北京第二外国语学院,,北京,高等院校、其他学校,,,,,,,,,
18,18BGL011,一般项目,管理学,基于国际金融主导权的大国货币博弈研究,2018-06-21,张应华,中级,九江学院,,江西,高等院校、其他学校,,,,,,,,,
19,18BGL012,一般项目,管理学,制度距离对全球供应链战略选择与竞争优势的影响研究,2018-06-21,张敬,副高级,河北工业大学,211高校,河北,高等院校、其他学校,,,,,,,,,
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18BGL013,一般项目,管理学,“科技冷战”背景下中国网络安全技术赶超的关键问题研究,2018-06-21,谢安世,中级,浙江工业大学,,浙江,高等院校、其他学校,,,,,,,,,
1,18BGL014,一般项目,管理学,产业回报型众筹的目标延展和激励机制研究,2018-06-21,刘晓峰,副高级,中南财经政法大学,211高校,湖北,高等院校、其他学校,,,,,,,,,
2,18BGL015,一般项目,管理学,基于能力模型的我国新兴产业培育路径与绩效比较研究,2018-06-21,龚惠群,中级,南京信息工程大学,,江苏,高等院校、其他学校,,,,,,,,,
