,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
6,18BTQ018,一般项目,图书馆、情报与文献学,高校图书馆吸引专业志愿服务的制度基础及管理机制研究,2018-06-21,王琼,正高级,北京师范大学,985高校211高校,高校,高等院校、其他学校,,,,,,,,,
7,18BTQ019,一般项目,图书馆、情报与文献学,公共图书馆影响力评价之体系构建与实证研究,2018-06-21,唐琼,副高级,中山大学,985高校211高校,广东,高等院校、其他学校,,,,,,,,,
8,18BTQ020,一般项目,图书馆、情报与文献学,基于人工智能的公共图书馆空间再造与效能提升研究,2018-06-21,王筱雯,正高级,辽宁省图书馆,,辽宁,其他,,,,,,,,,
9,18BTQ021,一般项目,图书馆、情报与文献学,价值网视阈下图书开放获取权益分享机制研究,2018-06-21,马小琪,副高级,黑龙江大学,,黑龙江,高等院校、其他学校,,,,,,,,,
10,18BTQ022,一般项目,图书馆、情报与文献学,媒介融合视阈下图书馆员职业能力发展模型及建设体系研究,2018-06-21,王瑞珍,副高级,河南师范大学,,河南,高等院校、其他学校,,,,,,,,,
11,18BTQ023,一般项目,图书馆、情报与文献学,我国公共文化服务机构的著作权问题及其对策研究,2018-06-21,杨利华,副高级,中国政法大学,211高校,高校,高等院校、其他学校,,,,,,,,,
12,18BTQ024,一般项目,图书馆、情报与文献学,小康社会视阈下西藏图书馆学前教育服务实现机制与功能研究,2018-06-21,马凌云,副高级,西藏民族大学,,西藏,高等院校、其他学校,,,,,,,,,
13,18BTQ025,一般项目,图书馆、情报与文献学,《资本论》汉英术语知识库建设与应用研究,2018-06-21,张凌云,正高级,天津图书馆,,天津,其他,,,,,,,,,
14,18BTQ026,一般项目,图书馆、情报与文献学,开放共享背景下图书馆书目元数据组织模式的演变与发展研究,2018-06-21,黄毕惠,正高级,四川大学,985高校211高校,四川,高等院校、其他学校,,,,,,,,,
15,18BTQ027,一般项目,图书馆、情报与文献学,面向数字人文研究的图书馆开放数据体系构建与服务模式设计研究,2018-06-21,张磊,副高级,上海图书馆,,上海,其他,,,,,,,,,
16,18BTQ028,一般项目,图书馆、情报与文献学,图书馆智慧空间的理论构建与实践应用研究,2018-06-21,许鑫,正高级,华东师范大学,985高校211高校,上海,高等院校、其他学校,,,,,,,,,
17,18BTQ029,一般项目,图书馆、情报与文献学,智慧社会建设背景下图书馆跨界合作服务模式研究,2018-06-21,李健,副高级,西南大学,211高校,重庆,高等院校、其他学校,,,,,,,,,
18,18BTQ030,一般项目,图书馆、情报与文献学,智慧社会驱动的图书馆信息生态研究,2018-06-21,吕莉媛,正高级,哈尔滨师范大学,,黑龙江,高等院校、其他学校,,,,,,,,,
19,18BTQ031,一般项目,图书馆、情报与文献学,多源异构数据融合的图书馆用户画像研究,2018-06-21,杨代庆,副高级,中国科学技术信息研究所,,机关,其他,,,,,,,,,
,项目批准号,项目类别,学科分类,项目名称,立项时间,项目负责人,专业职务,工作单位,单位类别,所在省区市,所属系统,成果名称,成果形式,成果等级,结项时间,结项证书号,出版社,出版时间,作者,获奖情况
0,18BTQ032,一般项目,图书馆、情报与文献学,互联网知识付费业态下图书馆知识服务优化机制及对策研究,2018-06-21,姚伟,副高级,天津科技大学,,天津,高等院校、其他学校,,,,,,,,,
1,18BTQ033,一般项目,图书馆、情报与文献学,基于大数据深度融合的移动图书馆用户画像情境化推荐模型研究,2018-06-21,刘海鸥,副高级,燕山大学,,河北,高等院校、其他学校,,,,,,,,,
2,18BTQ034,一般项目,图书馆、情报与文献学,新媒体时代下我国图书馆政府舆情信息服务研究,2018-06-21,艾新革,正高级,广州大学,,广东,高等院校、其他学校,,,,,,,,,
3,18BTQ035,一般项目,图书馆、情报与文献学,濒危非物质文化遗产的青海土族“道拉”的传承与数字化保护研究,2018-06-21,刘晓建,副高级,青海大学,211高校,青海,高等院校、其他学校,,,,,,,,,
4,18BTQ036,一般项目,图书馆、情报与文献学,藏文古籍写本序跋辑录与文献学研究,2018-06-21,史桂玲,副高级,中国民族图书馆,,机关,其他,,,,,,,,,
5,18BTQ037,一般项目,图书馆、情报与文献学,海内外现存建阳刻本书目调查与研究,2018-06-21,陈旭东,副高级,福建师范大学,,福建,高等院校、其他学校,,,,,,,,,
6,18BTQ038,一般项目,图书馆、情报与文献学,韩国汉籍中的清人佚诗遗文的搜集、整理与研究,2018-06-21,陈俐,副高级,南通大学,,江苏,高等院校、其他学校,,,,,,,,,
7,18BTQ039,一般项目,图书馆、情报与文献学,清代写本《智观巴·贡却乎丹巴绕杰传之喜脱雷鸣》翻译与研究,2018-06-21,贡保吉,初级,兰州大学,985高校211高校,甘肃,高等院校、其他学校,,,,,,,,,
8,18BTQ040,一般项目,图书馆、情报与文献学,上海图书馆藏顾廷龙先生友朋信札整理与研究,2018-06-21,丁小明,副高级,华东师范大学,985高校211高校,上海,高等院校、其他学校,,,,,,,,,
9,18BTQ041,一般项目,图书馆、情报与文献学,西北丝路途经地旧志编纂与刊行问题研究,2018-06-21,贠有强,副高级,宁夏社会科学院,,宁夏,省、市社会科学院,,,,,,,,,
10,18BTQ042,一般项目,图书馆、情报与文献学,延安时期中共中央机关报数字化保存与挖掘利用研究,2018-06-21,贾翠玲,正高级,延安大学,,陕西,高等院校、其他学校,,,,,,,,,
11,18BTQ043,一般项目,图书馆、情报与文献学,“间岛问题”文献史料收集、整理与研究,2018-06-21,金泰国,正高级,延边大学,211高校,吉林,高等院校、其他学校,,,,,,,,,
12,18BTQ044,一般项目,图书馆、情报与文献学,濒危青海民间演唱词传承资源库建设,2018-06-21,郭占龙,正高级,青海师范大学,,青海,高等院校、其他学校,,,,,,,,,
13,18BTQ045,一般项目,图书馆、情报与文献学,广西京族口述历史资料收集整理与其有声数据库建设,2018-06-21,韦江,正高级,广西壮族自治区图书馆,,广西,其他,,,,,,,,,
14,18BTQ046,一般项目,图书馆、情报与文献学,蒙元以来中央政府授予藏传佛教喇嘛的“遗留性史料”搜集与整理研究,2018-06-21,额尔敦巴特尔,副高级,内蒙古自治区图书馆,,内蒙,其他,,,,,,,,,
