ad_track,adid,attribute_text,coid,company_href,company_name,companyind_text,companysize_text,companytype_text,degreefrom,effect,isFromXyz,isIntern,is_special_job,iscommunicate,isdiffcity,issuedate,job_href,job_name,job_title,jobid,jobwelf,jobwelf_list,jt,providesalary_text,tags,type,updatedate,workarea,workarea_text,workyear
,,"成都,3-4年经验,大专,招3人",6490590,https://jobs.51job.com/all/coAGAHZ1U_UmxTMwNpXDk.html,郑州辰而将行软件科技有限公司,计算机软件,50-150人,民营公司,5,1,,,,,,2022-03-06 09:12:44,https://jobs.51job.com/chengdu/132249248.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,ETL开发工程师,132249248,五险一金 年终奖金,,0_0,0.8-1.3万/月,,engine_jds,03-06,090200,成都,5
,,"成都-双流区,无需经验,本科,招3人",5661484,https://jobs.51job.com/all/co5661484.html,成都匠领科技有限公司,计算机软件,50-150人,民营公司,6,1,,,,,,2022-03-06 09:02:26,https://jobs.51job.com/chengdu-slq/130737875.html?s=sou_sou_soulb&t=0_0,数据分析专员,数据分析专员,130737875,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权,,0_0,0.3-1万/月,,engine_jds,03-06,090215,成都-双流区,10
,,"成都-高新区,3-4年经验,招若干人",849609,https://jobs.51job.com/all/co849609.html,亿磐,计算机软件,10000人以上,外资（欧美）,,1,,,,,,2022-03-06 09:00:01,https://jobs.51job.com/chengdu-gxq/137226659.html?s=sou_sou_soulb&t=0_0,Senior Data Analyst (Data Model),Senior Data Analyst (Data Model),137226659,专业培训 弹性工作 五险一金 补充医疗保险 上市公司 发展空间大,,0_0,2-2.8万/月,,engine_jds,03-06,090220,成都-高新区,5
,,"成都-天府新区,3-4年经验,本科,招2人",6602370,https://jobs.51job.com/all/coBWVTMQdkAj4DZQNnVDE.html,四川凤集生态农业发展有限公司,快速消费品(食品、饮料、化妆品),500-1000人,外资（欧美）,6,1,,,,,,2022-03-06 08:29:50,https://jobs.51job.com/chengdu-tfxq/136579385.html?s=sou_sou_soulb&t=0_0,运营数据分析师,运营数据分析师,136579385,五险一金 员工旅游 通讯补贴 绩效奖金 年终奖金 弹性工作 节假日礼品 专业培训 行业交流,,0_0,0.8-1.2万/月,,engine_jds,03-06,090222,成都-天府新区,5
,,"成都-高新区,1年经验,大专,招1人",3696422,https://jobs.51job.com/all/co3696422.html,去哪儿网机票事业部,互联网/电子商务,1000-5000人,上市公司,5,1,,,,,,2022-03-06 07:03:28,https://jobs.51job.com/chengdu-gxq/137370852.html?s=sou_sou_soulb&t=0_0,数据分析专员,数据分析专员,137370852,周末双休 带薪年假 五险一金 绩效奖金 员工旅游 专业培训 定期体检,,0_0,4-6千/月,,engine_jds,03-06,090220,成都-高新区,3
,,"成都,3-4年经验,本科,招1人",2547589,https://jobs.51job.com/all/co2547589.html,电信事业部,通信/电信运营、增值服务,500-1000人,外资（欧美）,6,1,,,,,,2022-03-06 07:00:23,https://jobs.51job.com/chengdu/133796526.html?s=sou_sou_soulb&t=0_0,ETL开发工程师,ETL开发工程师,133796526,五险一金 补充医疗保险 通讯补贴 绩效奖金 年终奖金 定期体检 弹性工作,,0_0,1.5-2.5万/月,,engine_jds,03-06,090200,成都,5
,,"成都-锦江区,1年经验,大专,招6人",6540385,https://jobs.51job.com/all/coAGBTMgViAjwAZlY9AmI.html,四川凯洋浩博科技有限公司,金融/投资/证券,50-150人,民营公司,5,1,,,,,,2022-03-06 04:01:59,https://jobs.51job.com/chengdu-jjq/131804597.html?s=sou_sou_soulb&t=0_0,分析师助理+周末双休,分析师助理+周末双休,131804597,五险一金 出国机会 员工旅游 绩效奖金 弹性工作,,0_0,6-8千/月,,engine_jds,03-06,090202,成都-锦江区,3
,,"成都,无需经验,大专,招2人",3134936,https://jobs.51job.com/all/co3134936.html,四川空间座标信息科技有限公司,计算机软件,50-150人,民营公司,5,1,,,,,,2022-03-06 04:01:59,https://jobs.51job.com/chengdu/131591923.html?s=sou_sou_soulb&t=0_0,数据分析师,数据分析师,131591923,周末双休 带薪年假 五险一金 节日福利 餐饮补贴 绩效奖金,,0_0,6-8千/月,,engine_jds,03-06,090200,成都,10
,,"成都-高新区,无需经验,大专,招9人",6735460,https://jobs.51job.com/all/coBGRSMVIyBzxUNVA1VTA.html,广州朝晖网络科技有限公司,电子技术/半导体/集成电路,,民营公司,5,1,,,,,,2022-03-06 01:51:35,https://jobs.51job.com/chengdu-gxq/136852900.html?s=sou_sou_soulb&t=0_0,诚聘数据分析师,诚聘数据分析师,136852900,五险一金 包吃 周末双休 年终双薪 餐饮补贴 通讯补贴 交通补贴 加班补贴,,0_0,5.5-8千/月,,engine_jds,03-06,090220,成都-高新区,10
,,"成都-高新区,无需经验,大专,招8人",6779202,https://jobs.51job.com/all/coAGABYlA0BTIDZABjAWY.html,广州市创盟传媒科技有限公司,计算机软件,,民营公司,5,1,,,,,,2022-03-06 01:51:31,https://jobs.51job.com/chengdu-gxq/135796301.html?s=sou_sou_soulb&t=0_0,数据分析师实习生,数据分析师实习生,135796301,六险一金 周末双休 餐饮补贴 通讯补贴 交通补贴 加班补贴,,0_0,3-4千/月,,engine_jds,03-06,090220,成都-高新区,10
